match_id,match_type,teams,date,city,venue,has_innings_data,innings_count,total_deliveries
875521,T20,Ireland|Hong Kong,2015-07-17,Dublin,"The Village, Malahide",True,2,251
1456863,T20,Mongolia|Hong Kong,2024-11-09,Hangzhou,Zhejiang University of Technology Cricket Field,True,2,90
1310186,T20,Czech Republic|Hungary,2022-05-15,Marsa,Marsa Sports Club,True,2,253
446956,T20,Australia|Sri Lanka,2010-10-31,Perth,Western Australia Cricket Association Ground,True,2,229
533303,T20,New Zealand|South Africa,2012-09-28,,Galle International Stadium,True,2,248
1385698,T20,Australia|England,2024-09-13,Cardiff,"Sophia Gardens, Cardiff",True,2,244
1150551,T20,England|West Indies,2018-11-18,St Lucia,"Daren Sammy National Cricket Stadium, Gros Islet",True,2,242
1438094,T20,Croatia|Gibraltar,2024-06-16,Prague,"Scott Page Field, Vinor",True,2,212
1310890,T20,Zimbabwe|Uganda,2022-04-22,Windhoek,"Centre for Cricket Development Ground, Windhoek",True,2,252
589307,T20,India|Pakistan,2012-12-28,Ahmedabad,"Sardar Patel Stadium, Motera",True,2,244
423782,T20,New Zealand|Bangladesh,2010-02-03,Hamilton,Seddon Park,True,2,156
1286683,T20,Belize|Bermuda,2021-11-13,North Sound,"Sir Vivian Richards Stadium, North Sound, Antigua",True,2,164
386494,T20,New Zealand|India,2009-02-25,Christchurch,AMI Stadium,True,2,242
902651,T20,England|Pakistan,2015-11-27,,Dubai International Cricket Stadium,True,2,254
1335800,T20,Thailand|Malaysia,2022-10-09,Sylhet,Sylhet International Cricket Stadium,True,2,244
1440449,T20,Indonesia|Bhutan,2024-07-07,Bali,Udayana Cricket Ground,True,2,238
754039,T20,New Zealand|Pakistan,2014-12-05,,Dubai International Cricket Stadium,True,2,243
636166,T20,Australia|England,2014-02-02,Sydney,Stadium Australia,True,2,230
660113,T20,Canada|Ireland,2013-11-16,Abu Dhabi,Sheikh Zayed Stadium,True,2,246
951397,T20,Ireland|South Africa,2016-03-23,Chennai,"MA Chidambaram Stadium, Chepauk",True,2,247
1468728,T20,Thailand|Nepal,2025-02-04,Kirtipur,"Tribhuvan University International Cricket Ground, Kirtipur",True,2,245
533307,T20,South Africa|West Indies,2012-09-30,,Galle International Stadium,True,2,185
1400041,T20,Namibia|United Arab Emirates,2023-10-03,Dubai,"ICC Academy, Dubai",True,2,241
682961,T20,Sri Lanka|West Indies,2014-04-03,Mirpur,Shere Bangla National Stadium,True,2,208
1344509,T20,Netherlands|Thailand,2022-12-02,Chiang Mai,Royal Chiangmai Golf Club,True,2,231
1214765,T20,Oman|Germany,2020-02-07,Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),True,2,272
1384547,T20,Scotland|Netherlands,2023-07-12,Utrecht,"Sportpark Maarschalkerweerd, Utrecht",True,2,255
1418181,T20,Indonesia|Bhutan,2024-02-01,Bangkok,"Terdthai Cricket Ground, Bangkok",True,2,248
1158355,T20,Sierra Leone|Malawi,2018-08-23,Gaborone,Botswana Cricket Association Oval 2,True,2,278
1462899,T20,Bermuda|Belize,2024-12-12,Buenos Aires,"St George's College Ground, Buenos Aires",True,2,216
1280060,T20,United Arab Emirates|Ireland,2021-10-07,Dubai,"ICC Academy, Dubai",True,2,240
1265214,T20,Nigeria|Namibia,2021-06-06,Kigali City,Gahanga International Cricket Stadium. Rwanda,True,2,187
1138198,T20,West Indies|New Zealand,2018-03-25,Hamilton,Seddon Park,True,2,228
1474429,T20,Vanuatu|Samoa,2025-03-14,Noumea,"N'Du Stadium, Noumea, New Caledonia",True,2,208
1276906,T20,England|India,2022-07-10,Nottingham,"Trent Bridge, Nottingham",True,2,255
1344788,T20,Saudi Arabia|Oman,2022-11-17,Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),True,2,200
1456860,T20,Mongolia|China,2024-11-07,Hangzhou,Zhejiang University of Technology Cricket Field,True,2,181
1305499,T20,Malaysia|Papua New Guinea,2022-03-29,Kirtipur,"Tribhuvan University International Cricket Ground, Kirtipur",True,2,255
1198489,T20,Pakistan|Sri Lanka,2019-10-05,Lahore,Gaddafi Stadium,True,2,231
1306394,T20,Qatar|Saudi Arabia,2022-03-25,Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),True,2,280
1263160,T20,West Indies|Australia,2021-07-16,Gros Islet,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",True,2,262
1336981,T20,Hong Kong|Japan,2022-10-29,Osaka,Kaizuka Cricket Ground,True,2,261
1446766,T20,Netherlands|United States of America,2024-08-28,The Hague,"Sportpark Westvliet, The Hague",True,2,237
1450758,T20,Cameroon|Tanzania,2024-09-24,Dar-es-Salaam,"Gymkhana Club Ground, Dar-es-Salaam",True,2,98
1233466,T20,Zimbabwe|Pakistan,2020-11-10,,Rawalpindi Cricket Stadium,True,2,220
1320980,T20,Belgium|Denmark,2022-07-01,Waterloo,"Royal Brussels Cricket Club Ground, Waterloo",True,2,250
423787,T20,New Zealand|Australia,2010-02-26,Wellington,Westpac Stadium,True,2,222
463142,T20,South Africa|Zimbabwe,2010-10-10,Kimberley,De Beers Diamond Oval,True,2,248
1148055,T20,Malaysia|Thailand,2018-06-06,Kuala Lumpur,Royal Selangor Club,True,2,177
1419933,T20,Kuwait|Nepal,2024-02-14,Bangi,"YSD-UKM Cricket Oval, Bangi",True,2,169
1399062,T20,India|Sri Lanka,2023-09-25,Hangzhou,Zhejiang University of Technology Cricket Field,True,2,243
1349140,T20,Uganda|Rwanda,2022-12-23,Kigali City,"Gahanga International Cricket Stadium, Rwanda",True,2,250
1335806,T20,India|Thailand,2022-10-13,Sylhet,Sylhet International Cricket Stadium,True,2,252
1274600,T20,France|Germany,2021-08-27,Murcia,La Manga Club Bottom Ground,True,2,172
1289271,T20,India|England,2022-08-06,Birmingham,"Edgbaston, Birmingham",True,2,244
1272900,T20,Thailand|Zimbabwe,2021-08-27,Harare,"Takashinga Sports Club, Highfield, Harare",True,2,245
1426626,T20,Australia|England,2025-01-20,Sydney,Sydney Cricket Ground,True,2,224
1185317,T20,South Africa|Australia,2020-02-23,Port Elizabeth,St George's Park,True,2,245
1138195,T20,New Zealand|West Indies,2018-03-16,Mount Maunganui,Bay Oval,True,2,248
1306395,T20,Kuwait|Bahrain,2022-03-25,Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),True,2,253
1383089,T20,Japan|Philippines,2023-07-22,Port Moresby,"Amini Park, Port Moresby",True,2,247
1275104,T20,Mozambique|Rwanda,2021-09-09,Gaborone,"Botswana Cricket Association Oval 1, Gaborone",True,2,71
527012,T20,Zimbabwe|New Zealand,2011-10-15,,Harare Sports Club,True,2,210
1273144,T20,Ghana|Rwanda,2021-08-20,Kigali City,Gahanga International Cricket Stadium. Rwanda,True,2,169
1462855,T20,Hong Kong|Namibia,2024-12-07,Mong Kok,"Mission Road Ground, Mong Kok, Hong Kong",True,2,252
1298154,T20,Ireland|England,2022-10-26,Melbourne,Melbourne Cricket Ground,True,2,217
1182914,T20,Japan|Papua New Guinea,2019-05-09,Port Vila,"Ground 1, Independence Park",True,2,158
1172915,T20,Kuwait|United Arab Emirates,2019-02-19,Bangkok,Asian Institute of Technology Ground,True,2,235
1229207,T20,Germany|Austria,2020-08-14,Lower Austria,Seebarn Cricket Centre,True,2,279
356007,T20,South Africa|West Indies,2009-06-13,London,Kennington Oval,True,2,245
592269,T20,Canada|Kenya,2013-03-16,Dubai,ICC Global Cricket Academy,True,2,240
1373569,T20,South Africa|Australia,2023-09-01,Durban,"Kingsmead, Durban",True,2,215
1453917,T20,Thailand|Indonesia,2024-10-23,Gelephu,Gelephu International Cricket Ground,True,2,249
1445485,T20,Denmark|Norway,2024-08-11,Oslo,"Ekeberg Cricket Ground 1, Oslo",True,2,302
875491,T20,Nepal|Ireland,2015-07-13,Belfast,"Civil Service Cricket Club, Stormont",True,2,141
298804,T20,South Africa|West Indies,2008-01-18,Johannesburg,New Wanderers Stadium,True,2,244
1394917,T20,Kenya|Botswana,2023-09-02,Gaborone,"Botswana Cricket Association Oval 1, Gaborone",True,2,259
1399152,T20,Panama|Bermuda,2023-10-01,Hamilton,"White Hill Field, Sandys Parish",True,2,212
1384594,T20,France|Switzerland,2023-07-14,Marsa,Marsa Sports Club,True,2,255
1444960,T20,Vanuatu|Fiji,2024-08-23,Apia,"Faleata Oval No 2, Apia",True,2,254
1433364,T20,South Africa|West Indies,2024-05-26,Kingston,"Sabina Park, Kingston, Jamaica",True,2,211
1144990,T20,Australia|India,2018-11-21,Brisbane,"Brisbane Cricket Ground, Woolloongabba",True,2,218
1199530,T20,Ireland|Jersey,2019-10-25,Abu Dhabi,Tolerance Oval,True,2,206
798615,T20,Ireland|Australia,2015-08-19,Dublin,YMCA Cricket Club,True,2,255
1274604,T20,France|Ireland,2021-08-29,Murcia,La Manga Club Bottom Ground,True,2,132
1273725,T20,West Indies|England,2021-10-23,Dubai,Dubai International Cricket Stadium,True,2,140
1449021,T20,Zimbabwe|Namibia,2024-09-08,Windhoek,"Wanderers Cricket Ground, Windhoek",True,2,256
1148056,T20,India|Bangladesh,2018-06-06,Kuala Lumpur,Kinrara Academy Oval,True,2,242
1271450,T20,Norway|Germany,2021-08-08,Krefeld,Bayer Uerdingen Cricket Ground,True,2,248
1429625,T20,Mozambique|Botswana,2024-04-22,Gaborone,"Botswana Cricket Association Oval 2, Gaborone",True,2,239
1394919,T20,Mozambique|Eswatini,2023-09-02,Gaborone,"Botswana Cricket Association Oval 1, Gaborone",True,2,223
1199536,T20,Kenya|Papua New Guinea,2019-10-27,Dubai,Dubai International Cricket Stadium,True,2,242
1157761,T20,West Indies|India,2018-11-11,Chennai,"MA Chidambaram Stadium, Chepauk",True,2,256
1439822,T20,Norway|Germany,2024-07-11,Krefeld,Bayer Uerdingen Cricket Ground,True,2,244
1370914,T20,Uganda|Namibia,2023-05-02,Windhoek,"United Cricket Club Ground, Windhoek",True,2,246
